DS,Year,Project #,Client,Project Name,Amount,Status (%),Remaining Amount,Total Running Weeks,PO Date,PO No.,Date Completed,PIC,Address
DS,2024,CMRP24020067,Unilab,Amherst OT Network Devices,14858481.42,,14858481.42,,10/3/2024,,,EMP,
DS,2023,CMRP21090329,ACI,Proscenium RPAT and Museum BMS,7946428.57,,7946428.57,,9/9/2021,,,JNL,
DS,2023,CMRP23080260,ADI,ADI B1 BMS Upgrade,7855462.12,,7855462.12,,9/28/2023,,,RPP,
DS,2024,CMRP24010025,JX Metals,JX Metals TRCF PT1 PLC Upgrade Option 1,7661666.61,,7661666.61,,7/2/2024,,3/27/2025,JNL,
DS,2023,CMRP22100473,URC,URC Pamp-1 Corn Chips Line Automation,6264671.98,,6264671.98,,11/14/2022,,5/25/2024,RAS,
DS,2023,CMRP23060160,URC,URC SP1 Green Bean Silo Automation,5853561.07,,5853561.07,,7/6/2023,,,RPP,
DS,2023,CMRP22090427,JX Nippon,JX Nippon PLC Migration,5456505,,5456505,,12/22/2022,,9/10/2024,Others,
DS,2023,CMRP23040093,Tann Philippines,Tann Philippines BMS to PLC Upgrade,5254780.08,,5254780.08,,7/19/2023,25-010-23,4/8/2025,JBN,
DS,2024,CMRP24050176,LBI,LBI MDI Refrigeration Automation,4897994.12,,4897994.12,,9/13/2024,,,EMP,
DS,2024,CMRP23110415,Maxeon,Maxeon Sunpower FAB4 TGMS SCADA,4796441.61,,4796441.61,,2/19/2024,,,JBN,
DS,2023,CMRP23090313,Megaworld,Megaworld Pasudeco Tower BMS,3405377.319,,3405377.319,,11/23/2023,,4/10/2025,RAS,
DS,2023,CMRP21030093,URC,URC Automation Load Management,3292260.71,,3292260.71,,5/19/2021,,,JNL,
DS,2023,CMRP22030161,Fluence,Fluence BESS Mexico 3 SAS SCADA,3125000,,3125000,,4/25/2023,,,DOTX,
DS,2023,CMRP22080382,URC,URC Centralized Utilities and Metering Pamp Plant 1,3073417.8,,3073417.8,,,,,JNL,
DS,2024,CMRP23110399,Megaworld,Megaworld GLOBAL ONE BUILDING BMS Rehab,3035714.29,,3035714.29,,3/7/2024,,10/30/2024,Others,
DS,2023,CMRP20080195,URC,URC 1 Boiler Rehabilitation,2799107.14,,2799107.14,,,,,Others,
DS,2024,CMRP23050125,URC,URC Pampanga-1 Central Monitoring System Integration Phase II,2703103.95,,2703103.95,,10/1/2024,400109104,,KRM,
DS,2023,CMRP21010032,URC,URC Cavite Jaguar Chiller and Metering System,2677663.18,,2677663.18,,11/15/2022,,4/28/2024,RPP,
DS,2024,CMRP24040105,Megaworld,No.5 Upper East Avenue BMS,2633467.86,,2633467.86,,7/5/2024,,,JNL,
DS,2025,CMRP25030095,URC,URC Pamp 1 Upgrade of Silo PLC Desktop PC,2245652.41,,2245652.41,,4/10/2025,400159992,,,
DS,2024,CMRP24090403,URC,URC Pamp-1 XO Process PLC Upgrade,2100012.29,,2100012.29,,11/4/2024,400128754,,JBN,
DS,2025,CMRP25010029,Aboitiz,Aboitiz TMI Nasipit RTU Integration,2016434.77,,2016434.77,,2/25/2025,,,DOTX,
DS,2023,CMRP22020054,URC,URC Binan 3 Machines Project,1964752.68,,1964752.68,,9/23/2022,,5/5/2024,JNL,
DS,2025,CMRP24070287,URC,URC ESMO Upgrade of Piattos Mixer PLC Controls,1963392.86,,1963392.86,,4/11/2025,400142053,,,
DS,2023,CMRP22050220,URC,URC-Canlubang Hot Water and Choco Fat Dosing Automation,1920398.21,,1920398.21,,8/23/2023,,2/24/2024,RAS,
DS,2024,CMRP24080304,NPI,Netpac Gentry BMS Installation - CORPO,1842946.43,,1842946.43,,10/11/2024,HG24-0913,,JNL,
DS,2024,CMRP24070294,Maxeon,Maxeon SunPower Max8 Pilot Line SCADA Integration,1382550,,1382550,,8/27/2024,,,JBN,
DS,2024,CMRP23100347,Unilab,Unilab Glatt Panel Retrofitting,1244147.58,,1244147.58,,,,,RAS,
