DS,Year,Project #,Client,Project Name,Amount,Status,Remaining Amount,Total Running Weeks,PO Date,PO No.,Date Completed,PIC,Updates,Address
DS,2023,CMRP21090329,ACI,Proscenium RPAT and Museum BMS,7946428.57,70,2383928.571,188,9/9/2021,,,JNL," Waiting for Siemens Remote Support - Apr14
-Siemens Deployment moved - Apr24",
DS,2024,CMRP24020067,Unilab,Amherst OT Network Devices,14858481.42,85,2228772.213,28,10/3/2024,,,EMP,"Checking for Site Requirements -Apr07
SCR - to check with Sir Joshua- 
Affidavit - to check with Sir Joshua-
RFP- to check with Sir Joshua
to create GC w/ Fin & Megaworld
Delivery onsite - Apr21",
DS,2024,CMRP24040105,Megaworld,No.5 Upper East Avenue BMS,2633467.86,20,2106774.288,41,7/5/2024,,,JNL,"Generate Additional task report for re-testing-Apr7
Alignment Meeting with Difsys - Apr11",
DS,2025,CMRP25030095,URC,URC Pamp 1 Upgrade of Silo PLC Desktop PC,2245652.41,30,1571956.687,1,45757,400159992,,,"for signing of Progress Report - Apr10
to submit Invoice onsite -Apr10
53% Signed Progress Report - Apr10
Gateway Delivery - May 2025
Stainless Panel Delivery- 
FOC Termination -for MRF",
DS,2025,CMRP25010029,Aboitiz,Aboitiz TMI Nasipit RTU Integration,2016434.77,30,1411504.339,7,2/25/2025,,,DOTX,"for signing of Progress Report - Apr10
to submit Invoice onsite -Apr10
53% Signed Progress Report - Apr10
Shutdown Works - Apr13-21 ",
DS,2025,CMRP24070287,URC,URC ESMO Upgrade of Piattos Mixer PLC Controls,1963392.86,30,1374375.002,1,45758,400142053,,,,
DS,2024,CMRP24080304,NPI,Netpac Gentry BMS Installation - CORPO,1842946.43,30,1290062.501,27,10/11/2024,HG24-0913,,JNL,Delivery of TIM IRC Module- July 2025,
DS,2024,CMRP23050125,URC,URC Pampanga-1 Central Monitoring System Integration Phase II,2703103.95,53,1270458.857,28,10/1/2024,400109104,,KRM,,
DS,2024,CMRP24090403,URC,URC Pamp-1 XO Process PLC Upgrade,2100012.29,53,987005.7763,23,11/4/2024,400128754,,JBN,need to breakdown billing-Apr10,
DS,2024,CMRP24060234,ATTSC,Brent School Chiller-BMS Integration,945187.05,30,661630.935,22,11/12/2024,24-146,,RAS,,
DS,2024,CMRP24050176,LBI,LBI MDI Refrigeration Automation,4897994.12,87,636739.2356,31,45548,,,EMP,,
DS,2023,CMRP23060160,URC,URC SP1 Green Bean Silo Automation,5853561.07,90,585356.107,93,45113,,,RPP,100% submitted -Apr08,
DS,2023,CMRP22030161,Fluence,Fluence BESS Mexico 3 SAS SCADA,3125000,85,468750,103,45041,,,DOTX,"Submitted Drawings for Approval - Apr7
Meeting onsite for drawing discussion -Apr10
Move Execution after Holyweek - Apr21",
DS,2024,CMRP24120539,Unilab,Amherst Delta Additional AP Coverage,455365.23,0,455365.23,21,45615,,,EMP,Waiting for LBI to finalize Panel Rewiring- Apr7,
DS,2024,CMRP24060224,URC,URC Cavite Dynamite SCADA PLC Upgrade,1197956,63,443243.72,36,45509,,,RPP,"to coordinate ma'am Kei for processing of 95% for the installed Paddle Switch - Apr11
Schedule of Testing - Apr22",
DS,2025,CMRP24100453,NPI,NPI Globe STT Davao BMS,629245.62,30,440471.934,8,45706,,,RPP,,
DS,2025,CMRP25020047,URC,URC Pamp2 Boiler PLC Upgrade,434910.71,0,434910.71,1,45757,400159505,,JNL,,
DS,2024,CMRP24070247,Megaworld,Megaworld VGC Terminal Canopy EE & AUX Works,357686.61,0,357686.61,38,45496,,,DIFSYS,"Shutdown Works -Apr13
62% Progress Report Submitted - Apr8
Other Components not yet ordered c/o SE",
DS,2024,CMRP24040149,URC,URC Cavite Enrober Electrical control upgrade,778174.11,55,350178.3495,36,45509,400110436,,RAS,,
